iter	Accuracy	MultiClass
230	0.6843811889	0.5486320771
231	0.685430047	0.5485701244
232	0.6850283707	0.5485594489
233	0.684969027	0.5485550587
234	0.6850364605	0.5485086155
235	0.6852898704	0.5484400701
236	0.6849719681	0.5484210381
237	0.6850201364	0.5483557854
238	0.6847273294	0.5480374235
239	0.6852087785	0.548005065
240	0.6856335933	0.5474900059
241	0.6862753075	0.546754784
242	0.6863630338	0.5467422053
243	0.6870847821	0.5466579336
244	0.6866895084	0.5466311945
245	0.6871195673	0.5466141634
246	0.686836445	0.5459673294
247	0.6863807755	0.5459177892
248	0.6862822202	0.5458896545
249	0.6867638218	0.5458607375
250	0.6871975879	0.5452694291
251	0.6869806586	0.54522394
252	0.6877073077	0.5451681871
253	0.6877848072	0.5451600716
254	0.68772989	0.5451492249
255	0.6876218792	0.5451348494
256	0.6874837577	0.5444400778
257	0.6874184612	0.5444236106
258	0.6874459197	0.5444008062
259	0.6878605622	0.5443843878
260	0.6877594283	0.5443722067
261	0.6879270611	0.543686166
262	0.6882491092	0.5435882506
263	0.6884319919	0.5433929073
264	0.6883282468	0.5433776763
265	0.6889352601	0.5433448189
266	0.6885240003	0.5432349609
267	0.6892387518	0.5429214418
268	0.6892453153	0.5429097704
269	0.6893482727	0.5428893824
270	0.6890571938	0.5428584923
271	0.6888669681	0.5428246997
272	0.6882936635	0.5427723233
273	0.6884822102	0.5427659104
274	0.6881681157	0.5426432817
275	0.6880982318	0.5426068645
276	0.6884510556	0.5423941779
277	0.6886785006	0.5423728905
278	0.6891265112	0.5418584532
279	0.6889940946	0.5418532747
280	0.6897983496	0.541359285
281	0.6897055945	0.5413516194
282	0.6889583719	0.541340717
283	0.6888917016	0.5413299616
284	0.6897516586	0.5412937759
285	0.6893177838	0.5412071296
286	0.6891294143	0.541034883
287	0.6897287605	0.540283634
288	0.6900456107	0.5402637079
289	0.6907254846	0.5396510822
290	0.6908012968	0.5396300259
291	0.6912414738	0.5390655225
292	0.6914269677	0.539050347
293	0.6916809717	0.5390439765
294	0.6920646724	0.5385238612
295	0.6920675725	0.538439499
296	0.6922144816	0.5384282152
297	0.6930375083	0.5381696398
298	0.6924975988	0.5381517548
299	0.6924939355	0.5381325566
